5046;71;-2098;1676925682411;world
5045;71;-2097;1676925706972;world
5046;72;-2098;1676925683608;world
5045;72;-2097;1676925707464;world
5046;73;-2098;1676925683971;world
5045;73;-2097;1676925707805;world
5046;73;-2099;1676925703724;world
5046;71;-2102;1676925691014;world
5046;73;-2100;1676925703972;world
5041;71;-2097;1676925712413;world
5046;72;-2102;1676925691227;world
5046;73;-2101;1676925704157;world
5041;72;-2097;1676925712758;world
5046;73;-2102;1676925691614;world
5046;71;-2104;1676925701074;world
5041;73;-2097;1676925713263;world
5046;72;-2104;1676925701507;world
5046;73;-2103;1676925702928;world
5046;73;-2104;1676925702916;world
