6359;64;-4098;1677621850574;world
6331;63;-4121;1677621643174;world
6334;63;-4124;1677621865260;world
6356;67;-4142;1677623135681;world
6332;63;-4121;1677621644366;world
6334;63;-4123;1677621865764;world
6329;63;-4121;1677621636794;world
6334;63;-4126;1677621863617;world
6330;63;-4121;1677621641577;world
6334;63;-4125;1677621864634;world
6334;63;-4122;1677621866216;world
6333;63;-4121;1677621867367;world
6334;63;-4121;1677621866867;world
6353;64;-4098;1677621765085;world
6356;63;-4097;1677621808029;world
6326;63;-4128;1677621600910;world
6327;63;-4129;1677621603173;world
6326;63;-4127;1677621600210;world
6328;63;-4129;1677621603867;world
6326;63;-4129;1677621602677;world
6326;63;-4124;1677621598370;world
6331;63;-4129;1677621860262;world
6326;63;-4123;1677621597867;world
6332;63;-4129;1677621860863;world
6326;63;-4126;1677621599721;world
6329;63;-4129;1677621604813;world
6326;63;-4125;1677621599076;world
6330;63;-4129;1677621859775;world
6327;63;-4121;1677621615661;world
6334;63;-4128;1677621862591;world
6328;63;-4121;1677621637315;world
6334;63;-4127;1677621863113;world
6326;63;-4122;1677621597164;world
6333;63;-4129;1677621861519;world
6326;63;-4121;1677621595461;world
6334;63;-4129;1677621862228;world
